CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,GEOID,STATE,COUNTY,TRACT,BLOCK
2023-08-08,17:11:00,QUEENS,11375.0,40.71512,-73.83224,"(40.71512, -73.83224)",QUEENS BOULEVARD,78 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4679271,Sedan,Station Wagon/Sport Utility Vehicle,,,,360810769021002,36,081,076902,1002
2023-10-26,18:00:00,,,40.624554,-73.9671,"(40.624554, -73.9671)",EAST 9 STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4674121,Sedan,Bus,,,,360470458002000,36,047,045800,2000
2023-07-18,16:07:00,QUEENS,11102.0,40.772083,-73.91752,"(40.772083, -73.91752)",,,24-46     29 STREET,3,0,0,0,0,0,3,0,Pavement Slippery,Unspecified,,,,4647068,Sedan,Station Wagon/Sport Utility Vehicle,,,,360810125002000,36,081,012500,2000
2023-05-07,02:30:00,BRONX,10452.0,40.83632,-73.92748,"(40.83632, -73.92748)",,,1133      OGDEN AVENUE,3,0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Unspecified,,,4626830,Sedan,Sedan,Sedan,,,360050199004002,36,005,019900,4002
2023-01-22,03:47:00,,,40.5405,-74.177315,"(40.5405, -74.177315)",SNEDEN AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4600963,Sedan,Pick-up Truck,,,,360850170051019,36,085,017005,1019
2023-10-30,06:10:00,BRONX,10473.0,40.82628,-73.843414,"(40.82628, -73.843414)",ZEREGA AVENUE,STORY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4675000,Station Wagon/Sport Utility Vehicle,,,,,360050098003009,36,005,009800,3009
2023-03-29,14:45:00,,,40.734314,-73.93803,"(40.734314, -73.93803)",VANDAM STREET,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4617848,Sedan,Station Wagon/Sport Utility Vehicle,,,,360810199021014,36,081,019902,1014
2023-02-11,14:30:00,,,40.65671,-73.95648,"(40.65671, -73.95648)",WINTHROP STREET,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4609551,Sedan,Sedan,,,,360470796011000,36,047,079601,1000
2023-05-10,00:00:00,,,40.636425,-74.00501,"(40.636425, -74.00501)",9 AVENUE,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4627735,Station Wagon/Sport Utility Vehicle,E-Scooter,,,,360470104022000,36,047,010402,2000
2023-04-18,11:45:00,BROOKLYN,11214.0,40.60968,-73.99298,"(40.60968, -73.99298)",77 STREET,20 AVENUE,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,4622235,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,360470274001001,36,047,027400,1001
2023-01-31,14:15:00,QUEENS,11435.0,40.695457,-73.80536,"(40.695457, -73.80536)",WALTHAM STREET,LIBERTY AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4605213,Sedan,Convertible,,,,360810206001001,36,081,020600,1001
2023-04-18,05:35:00,,,40.834515,-73.91771,"(40.834515, -73.91771)",EAST 167 STREET,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4621668,Station Wagon/Sport Utility Vehicle,Moped,,,,360050197001000,36,005,019700,1000
2023-05-13,13:20:00,QUEENS,11412.0,40.702564,-73.76637,"(40.702564, -73.76637)",FARMERS BOULEVARD,ILION AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4631268,Sedan,Station Wagon/Sport Utility Vehicle,,,,360810504002007,36,081,050400,2007
2023-04-24,09:07:00,,,40.776318,-73.962135,"(40.776318, -73.962135)",EAST 79 STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4623213,Station Wagon/Sport Utility Vehicle,,,,,360610142004001,36,061,014200,4001
2023-06-24,16:30:00,BROOKLYN,11232.0,40.65476,-74.00724,"(40.65476, -74.00724)",,,976       3 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4640781,Sedan,,,,,360470002001003,36,047,000200,1003
2023-10-17,08:50:00,,,40.693203,-73.953995,"(40.693203, -73.953995)",WALWORTH STREET,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4671933,Sedan,Box Truck,,,,360470241001005,36,047,024100,1005
2023-10-12,06:55:00,MANHATTAN,10032.0,40.841652,-73.94115,"(40.841652, -73.94115)",,,650       WEST 168 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4669837,Motorcycle,FD AMBULAN,,,,360610251001002,36,061,025100,1002
2023-05-10,08:55:00,BRONX,10461.0,40.842857,-73.83881,"(40.842857, -73.83881)",,,1200      WATERS PLACE,0,0,0,0,0,0,0,0,Unspecified,,,,,4627608,Sedan,,,,,360050284001010,36,005,028400,1010
2023-05-04,13:37:00,STATEN ISLAND,10301.0,40.634914,-74.08636,"(40.634914, -74.08636)",,,74        CASTLETON AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4627428,Sedan,Sedan,,,,360850075001000,36,085,007500,1000
2023-11-23,18:19:00,BRONX,10451.0,40.81655,-73.91955,"(40.81655, -73.91955)",EAST 149 STREET,COURTLANDT AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4686763,Sedan,Sedan,,,,360050065001001,36,005,006500,1001
2023-04-11,17:30:00,BRONX,10466.0,40.889427,-73.86295,"(40.889427, -73.86295)",EAST 226 STREET,CARPENTER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4620115,Station Wagon/Sport Utility Vehicle,Box Truck,,,,360050408004002,36,005,040800,4002
2023-11-07,01:01:00,QUEENS,11103.0,40.77037,-73.91412,"(40.77037, -73.91412)",,,24-29     35 STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,,4676998,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,360810125001008,36,081,012500,1008
2023-11-11,00:27:00,QUEENS,11385.0,40.71306,-73.90879,"(40.71306, -73.90879)",TONSOR STREET,METROPOLITAN AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4678492,Sedan,,,,,360810595022010,36,081,059502,2010
