GEOID,NAME,moe,population,means_transit,med_inc
36005000100,"Census Tract 1, Bronx County, New York",702,6661,NA,NA
36005000100,"Census Tract 1, Bronx County, New York",18,NA,0,NA
36005000100,"Census Tract 1, Bronx County, New York",NA,NA,NA,NA
36005000200,"Census Tract 2, Bronx County, New York",563,4453,NA,NA
36005000200,"Census Tract 2, Bronx County, New York",424,NA,1664,NA
36005000200,"Census Tract 2, Bronx County, New York",25423,NA,NA,70867
36005000400,"Census Tract 4, Bronx County, New York",903,6000,NA,NA
36005000400,"Census Tract 4, Bronx County, New York",507,NA,3081,NA
36005000400,"Census Tract 4, Bronx County, New York",18180,NA,NA,98090
36005001600,"Census Tract 16, Bronx County, New York",665,6038,NA,NA
36005001600,"Census Tract 16, Bronx County, New York",417,NA,2422,NA
36005001600,"Census Tract 16, Bronx County, New York",9907,NA,NA,40033
36005001901,"Census Tract 19.01, Bronx County, New York",263,2168,NA,NA
36005001901,"Census Tract 19.01, Bronx County, New York",247,NA,1134,NA
36005001901,"Census Tract 19.01, Bronx County, New York",12028,NA,NA,55924
36005001902,"Census Tract 19.02, Bronx County, New York",403,1399,NA,NA
36005001902,"Census Tract 19.02, Bronx County, New York",164,NA,518,NA
36005001902,"Census Tract 19.02, Bronx County, New York",12156,NA,NA,60804
36005001903,"Census Tract 19.03, Bronx County, New York",13,0,0,NA
36005001903,"Census Tract 19.03, Bronx County, New York",NA,NA,NA,NA
36005001904,"Census Tract 19.04, Bronx County, New York",13,0,0,NA
36005001904,"Census Tract 19.04, Bronx County, New York",NA,NA,NA,NA
36005002001,"Census Tract 20.01, Bronx County, New York",884,4694,NA,NA
36005002001,"Census Tract 20.01, Bronx County, New York",421,NA,1253,NA
36005002001,"Census Tract 20.01, Bronx County, New York",10614,NA,NA,20870
36005002002,"Census Tract 20.02, Bronx County, New York",1037,4274,NA,NA
36005002002,"Census Tract 20.02, Bronx County, New York",602,NA,1655,NA
36005002002,"Census Tract 20.02, Bronx County, New York",NA,NA,NA,NA
36005002300,"Census Tract 23, Bronx County, New York",642,4465,NA,NA
36005002300,"Census Tract 23, Bronx County, New York",342,NA,1315,NA
36005002300,"Census Tract 23, Bronx County, New York",7257,NA,NA,22177
36005002400,"Census Tract 24, Bronx County, New York",13,0,0,NA
36005002400,"Census Tract 24, Bronx County, New York",NA,NA,NA,NA
36005002500,"Census Tract 25, Bronx County, New York",679,5662,NA,NA
36005002500,"Census Tract 25, Bronx County, New York",415,NA,1940,NA
36005002500,"Census Tract 25, Bronx County, New York",9864,NA,NA,25954
36005002701,"Census Tract 27.01, Bronx County, New York",583,2938,NA,NA
36005002701,"Census Tract 27.01, Bronx County, New York",203,NA,769,NA
36005002701,"Census Tract 27.01, Bronx County, New York",3057,NA,NA,18686
36005002702,"Census Tract 27.02, Bronx County, New York",699,4413,NA,NA
36005002702,"Census Tract 27.02, Bronx County, New York",260,NA,1191,NA
36005002702,"Census Tract 27.02, Bronx County, New York",12224,NA,NA,14681
36005002800,"Census Tract 28, Bronx County, New York",827,5372,NA,NA
36005002800,"Census Tract 28, Bronx County, New York",523,NA,2503,NA
